Date,Visitor,G,Home,G,,Att.,LOG,Notes
2013-01-19,New York Rangers,1,Boston Bruins,3,,"17,565",,
2013-01-19,Phoenix Coyotes,3,Dallas Stars,4,,"18,532",,
2013-01-19,Carolina Hurricanes,1,Florida Panthers,5,,"19,688",,
2013-01-19,Chicago Blackhawks,5,Los Angeles Kings,2,,"18,545",,
2013-01-19,Colorado Avalanche,2,Minnesota Wild,4,,"19,298",,
2013-01-19,Toronto Maple Leafs,2,Montreal Canadiens,1,,"21,273",,
2013-01-19,Columbus Blue Jackets,3,Nashville Predators,2,SO,"17,113",,
2013-01-19,New Jersey Devils,2,New York Islanders,1,,"16,170",,
2013-01-19,Pittsburgh Penguins,3,Philadelphia Flyers,1,,"19,994",,
2013-01-19,Detroit Red Wings,0,St. Louis Blues,6,,"20,035",,
2013-01-19,Washington Capitals,3,Tampa Bay Lightning,6,,"19,204",,
2013-01-19,Anaheim Ducks,7,Vancouver Canucks,3,,"18,910",,
2013-01-19,Ottawa Senators,4,Winnipeg Jets,1,,"15,004",,
2013-01-20,Philadelphia Flyers,2,Buffalo Sabres,5,,"19,070",,
2013-01-20,San Jose Sharks,4,Calgary Flames,1,,"19,289",,
2013-01-20,Dallas Stars,0,Minnesota Wild,1,,"18,296",,
2013-01-20,Pittsburgh Penguins,6,New York Rangers,3,,"17,200",,
2013-01-20,Chicago Blackhawks,6,Phoenix Coyotes,4,,"17,363",,
2013-01-20,Edmonton Oilers,3,Vancouver Canucks,2,SO,"18,910",,
2013-01-21,Winnipeg Jets,1,Boston Bruins,2,SO,"17,565",,
2013-01-21,Detroit Red Wings,4,Columbus Blue Jackets,3,SO,"19,206",,
2013-01-21,Anaheim Ducks,5,Calgary Flames,4,,"19,289",,
2013-01-21,St. Louis Blues,4,Nashville Predators,3,SO,"17,113",,
2013-01-21,Tampa Bay Lightning,3,New York Islanders,4,,"15,322",,
2013-01-21,Florida Panthers,0,Ottawa Senators,4,,"19,952",,
2013-01-21,Buffalo Sabres,2,Toronto Maple Leafs,1,,"19,475",,
2013-01-22,Tampa Bay Lightning,4,Carolina Hurricanes,1,,"18,680",,
2013-01-22,St. Louis Blues,2,Chicago Blackhawks,3,,"21,455",,
2013-01-22,Los Angeles Kings,1,Colorado Avalanche,3,,"18,007",,
2013-01-22,Dallas Stars,2,Detroit Red Wings,1,,"20,066",,
2013-01-22,San Jose Sharks,6,Edmonton Oilers,3,,"16,839",,
2013-01-22,Nashville Predators,3,Minnesota Wild,1,,"17,540",,
2013-01-22,Florida Panthers,1,Montreal Canadiens,4,,"21,273",,
2013-01-22,Philadelphia Flyers,0,New Jersey Devils,3,,"17,625",,
2013-01-22,Winnipeg Jets,4,Washington Capitals,2,,"18,506",,
2013-01-23,Boston Bruins,3,New York Rangers,4,OT,"17,200",,
2013-01-23,Columbus Blue Jackets,1,Phoenix Coyotes,5,,"8,355",,
2013-01-23,Toronto Maple Leafs,5,Pittsburgh Penguins,2,,"18,641",,
2013-01-23,Calgary Flames,2,Vancouver Canucks,3,SO,"19,810",,
2013-01-24,Buffalo Sabres,3,Carolina Hurricanes,6,,"18,081",,
2013-01-24,Columbus Blue Jackets,0,Colorado Avalanche,4,,"14,325",,
2013-01-24,Chicago Blackhawks,3,Dallas Stars,2,OT,"17,868",,
2013-01-24,Los Angeles Kings,1,Edmonton Oilers,2,OT,"16,839",,
2013-01-24,Ottawa Senators,3,Florida Panthers,1,,"15,634",,
2013-01-24,New York Rangers,1,Philadelphia Flyers,2,,"19,596",,
2013-01-24,Phoenix Coyotes,3,San Jose Sharks,5,,"17,562",,
2013-01-24,Nashville Predators,0,St. Louis Blues,3,,"16,047",,
2013-01-24,New York Islanders,7,Toronto Maple Leafs,4,,"19,125",,
2013-01-24,Montreal Canadiens,4,Washington Capitals,1,,"18,506",,
2013-01-25,Vancouver Canucks,5,Anaheim Ducks,0,,"17,529",,
2013-01-25,New York Islanders,2,Boston Bruins,4,,"17,565",,
2013-01-25,Carolina Hurricanes,3,Buffalo Sabres,1,,"18,824",,
2013-01-25,Minnesota Wild,3,Detroit Red Wings,5,,"20,066",,
2013-01-25,Washington Capitals,2,New Jersey Devils,3,OT,"17,625",,
2013-01-25,Ottawa Senators,4,Tampa Bay Lightning,6,,"19,204",,
2013-01-25,Pittsburgh Penguins,2,Winnipeg Jets,4,,"15,004",,
2013-01-26,Nashville Predators,2,Anaheim Ducks,3,SO,"17,174",,
2013-01-26,Chicago Blackhawks,3,Columbus Blue Jackets,2,,"18,381",,
2013-01-26,Edmonton Oilers,3,Calgary Flames,4,,"19,289",,
2013-01-26,St. Louis Blues,4,Dallas Stars,3,,"17,131",,
2013-01-26,Philadelphia Flyers,7,Florida Panthers,1,,"19,311",,
2013-01-26,Toronto Maple Leafs,2,New York Rangers,5,,"17,200",,
2013-01-26,Los Angeles Kings,4,Phoenix Coyotes,2,,"14,780",,
2013-01-26,Colorado Avalanche,0,San Jose Sharks,4,,"17,562",,
2013-01-27,Detroit Red Wings,1,Chicago Blackhawks,2,OT,"21,607",,
2013-01-27,New Jersey Devils,3,Montreal Canadiens,4,OT,"21,273",,
2013-01-27,Pittsburgh Penguins,2,Ottawa Senators,1,SO,"20,081",,
2013-01-27,Vancouver Canucks,1,San Jose Sharks,4,,"17,562",,
2013-01-27,Minnesota Wild,4,St. Louis Blues,5,OT,"18,265",,
2013-01-27,Philadelphia Flyers,1,Tampa Bay Lightning,5,,"19,204",,
2013-01-27,New York Islanders,4,Winnipeg Jets,5,OT,"15,004",,
2013-01-27,Buffalo Sabres,2,Washington Capitals,3,,"18,506",,
2013-01-28,Boston Bruins,5,Carolina Hurricanes,3,,"17,190",,
2013-01-28,Dallas Stars,1,Columbus Blue Jackets,2,,"10,475",,
2013-01-28,Colorado Avalanche,1,Edmonton Oilers,4,,"16,839",,
2013-01-28,Vancouver Canucks,2,Los Angeles Kings,3,SO,"18,344",,
2013-01-28,Nashville Predators,0,Phoenix Coyotes,4,,"8,581",,
2013-01-29,New Jersey Devils,1,Boston Bruins,2,SO,"17,565",,
2013-01-29,Toronto Maple Leafs,4,Buffalo Sabres,3,OT,"18,801",,
2013-01-29,Dallas Stars,1,Detroit Red Wings,4,,"20,066",,
2013-01-29,Columbus Blue Jackets,2,Minnesota Wild,3,,"17,584",,
2013-01-29,Winnipeg Jets,3,Montreal Canadiens,4,,"21,273",,
2013-01-29,Philadelphia Flyers,1,New York Rangers,2,,"17,200",,
2013-01-29,Washington Capitals,2,Ottawa Senators,3,,"19,267",,
2013-01-29,New York Islanders,4,Pittsburgh Penguins,1,,"18,657",,
2013-01-29,Anaheim Ducks,2,San Jose Sharks,3,SO,"17,562",,
2013-01-29,Florida Panthers,2,Tampa Bay Lightning,5,,"19,204",,
2013-01-30,Chicago Blackhawks,2,Minnesota Wild,3,SO,"18,550",,
2013-01-30,Montreal Canadiens,1,Ottawa Senators,5,,"19,620",,
2013-01-30,Edmonton Oilers,2,Phoenix Coyotes,1,OT,"12,955",,
2013-01-30,Colorado Avalanche,0,Vancouver Canucks,3,,"18,910",,
2013-01-31,Buffalo Sabres,7,Boston Bruins,4,,"17,565",,
2013-01-31,St. Louis Blues,4,Columbus Blue Jackets,1,,"11,155",,
2013-01-31,Colorado Avalanche,6,Calgary Flames,3,,"19,289",,
2013-01-31,Winnipeg Jets,3,Florida Panthers,6,,"15,731",,
2013-01-31,Nashville Predators,2,Los Angeles Kings,1,SO,"18,118",,
2013-01-31,New York Islanders,5,New Jersey Devils,4,OT,"17,625",,
2013-01-31,Pittsburgh Penguins,3,New York Rangers,0,,"17,200",,
2013-01-31,Edmonton Oilers,2,San Jose Sharks,3,SO,"17,562",,
2013-01-31,Washington Capitals,2,Toronto Maple Leafs,3,,"19,374",,
2013-02-01,Minnesota Wild,1,Anaheim Ducks,3,,"13,007",,
2013-02-01,Ottawa Senators,0,Carolina Hurricanes,1,,"18,680",,
2013-02-01,Phoenix Coyotes,3,Dallas Stars,4,SO,"18,101",,
2013-02-01,St. Louis Blues,3,Detroit Red Wings,5,,"20,066",,
2013-02-01,Winnipeg Jets,3,Tampa Bay Lightning,8,,"19,204",,
2013-02-01,Chicago Blackhawks,1,Vancouver Canucks,2,SO,"18,910",,
2013-02-01,Philadelphia Flyers,2,Washington Capitals,3,,"18,506",,
2013-02-02,Los Angeles Kings,4,Anaheim Ducks,7,,"17,436",,
2013-02-02,Detroit Red Wings,2,Columbus Blue Jackets,4,,"17,612",,
2013-02-02,Chicago Blackhawks,3,Calgary Flames,2,SO,"19,289",,
2013-02-02,Edmonton Oilers,1,Colorado Avalanche,3,,"16,119",,
2013-02-02,Buffalo Sabres,1,Montreal Canadiens,6,,"21,273",,
2013-02-02,Carolina Hurricanes,3,Philadelphia Flyers,5,,"19,691",,
2013-02-02,Dallas Stars,0,Phoenix Coyotes,2,,"12,151",,
2013-02-02,New Jersey Devils,1,Pittsburgh Penguins,5,,"18,635",,
2013-02-02,Nashville Predators,2,San Jose Sharks,1,SO,"17,562",,
2013-02-02,New York Rangers,3,Tampa Bay Lightning,2,,"19,204",,
2013-02-02,Boston Bruins,1,Toronto Maple Leafs,0,,"19,246",,
2013-02-03,Florida Panthers,4,Buffalo Sabres,3,,"18,831",,
2013-02-03,Ottawa Senators,1,Montreal Canadiens,2,,"21,273",,
2013-02-03,New Jersey Devils,3,New York Islanders,0,,"11,558",,
2013-02-03,Pittsburgh Penguins,6,Washington Capitals,3,,"18,506",,
2013-02-04,San Jose Sharks,1,Anaheim Ducks,2,,"14,324",,
2013-02-04,Dallas Stars,3,Colorado Avalanche,2,,"13,441",,
2013-02-04,Vancouver Canucks,3,Edmonton Oilers,2,OT,"16,839",,
2013-02-04,Minnesota Wild,1,Phoenix Coyotes,2,,"9,508",,
2013-02-04,Carolina Hurricanes,4,Toronto Maple Leafs,1,,"19,072",,
2013-02-05,Los Angeles Kings,4,Columbus Blue Jackets,2,,"11,019",,
2013-02-05,Calgary Flames,4,Detroit Red Wings,1,,"20,066",,
2013-02-05,New York Rangers,1,New Jersey Devils,3,,"17,625",,
2013-02-05,Pittsburgh Penguins,4,New York Islanders,2,,"11,318",,
2013-02-05,Buffalo Sabres,3,Ottawa Senators,4,,"18,345",,
2013-02-05,Tampa Bay Lightning,1,Philadelphia Flyers,2,,"19,616",,
2013-02-05,Chicago Blackhawks,5,San Jose Sharks,3,,"17,562",,
2013-02-05,Nashville Predators,6,St. Louis Blues,1,,"15,206",,
2013-02-05,Florida Panthers,2,Winnipeg Jets,3,OT,"15,004",,
2013-02-05,Toronto Maple Leafs,3,Washington Capitals,2,,"18,506",,
2013-02-06,Anaheim Ducks,3,Colorado Avalanche,0,,"13,776",,
2013-02-06,Dallas Stars,3,Edmonton Oilers,2,OT,"16,839",,
2013-02-06,Boston Bruins,2,Montreal Canadiens,1,,"21,273",,
2013-02-07,Montreal Canadiens,4,Buffalo Sabres,5,SO,"18,866",,
2013-02-07,Calgary Flames,4,Columbus Blue Jackets,3,OT,"10,484",,
2013-02-07,Vancouver Canucks,4,Minnesota Wild,1,,"18,352",,
2013-02-07,Tampa Bay Lightning,2,New Jersey Devils,4,,"14,802",,
2013-02-07,Los Angeles Kings,0,Nashville Predators,3,,"17,113",,
2013-02-07,New York Islanders,1,New York Rangers,4,,"17,200",,
2013-02-07,Carolina Hurricanes,3,Ottawa Senators,2,OT,"17,337",,
2013-02-07,Florida Panthers,3,Philadelphia Flyers,2,SO,"19,616",,
2013-02-07,Chicago Blackhawks,6,Phoenix Coyotes,2,,"15,096",,
2013-02-07,Washington Capitals,2,Pittsburgh Penguins,5,,"18,650",,
2013-02-07,Detroit Red Wings,5,St. Louis Blues,1,,"17,699",,
2013-02-07,Toronto Maple Leafs,3,Winnipeg Jets,2,,"15,004",,
2013-02-08,Anaheim Ducks,1,Dallas Stars,3,,"18,112",,
2013-02-09,Edmonton Oilers,1,Detroit Red Wings,2,,"20,066",,
2013-02-09,Nashville Predators,1,Minnesota Wild,2,OT,"18,806",,
2013-02-09,Toronto Maple Leafs,6,Montreal Canadiens,0,,"21,273",,
2013-02-09,Pittsburgh Penguins,1,New Jersey Devils,3,,"17,625",,
2013-02-09,Buffalo Sabres,3,New York Islanders,2,,"12,608",,
2013-02-09,Winnipeg Jets,1,Ottawa Senators,0,,"18,594",,
2013-02-09,Carolina Hurricanes,3,Philadelphia Flyers,4,OT,"19,691",,
2013-02-09,Phoenix Coyotes,1,San Jose Sharks,0,SO,"17,562",,
2013-02-09,Anaheim Ducks,6,St. Louis Blues,5,SO,"18,835",,
2013-02-09,Calgary Flames,1,Vancouver Canucks,5,,"18,910",,
2013-02-09,Florida Panthers,0,Washington Capitals,5,,"18,506",,
2013-02-10,Boston Bruins,3,Buffalo Sabres,1,,"18,869",,
2013-02-10,Edmonton Oilers,3,Columbus Blue Jackets,1,,"14,364",,
2013-02-10,Los Angeles Kings,2,Detroit Red Wings,3,,"20,066",,
2013-02-10,Chicago Blackhawks,3,Nashville Predators,0,,"17,113",,
2013-02-10,Tampa Bay Lightning,1,New York Rangers,5,,"17,200",,
2013-02-10,New Jersey Devils,3,Pittsburgh Penguins,1,,"18,658",,
2013-02-11,San Jose Sharks,2,Columbus Blue Jackets,6,,"10,837",,
2013-02-11,Minnesota Wild,2,Calgary Flames,1,SO,"19,289",,
2013-02-11,Phoenix Coyotes,3,Colorado Avalanche,2,OT,"14,063",,
2013-02-11,Carolina Hurricanes,6,New York Islanders,4,,"9,622",,
2013-02-11,Los Angeles Kings,4,St. Louis Blues,1,,"14,498",,
2013-02-11,Philadelphia Flyers,2,Toronto Maple Leafs,5,,"19,253",,
2013-02-12,New York Rangers,4,Boston Bruins,3,SO,"17,565",,
